No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考
184,釈迦ヶ岳,34.1144444,135.9030555,しゃかがだけ,1800,奈良県,近畿･北陸,
185,伯母小岳,34.0775,135.6508333,おばこだけ,1344,奈良県,近畿･北陸,
186,武奈ヶ岳,35.2647222,135.8969444,ぶながだけ,1214,滋賀県,近畿･北陸,
187,氷ノ山（須賀ノ山）,35.3538888,134.5138888,ひょうのせん（すがのせん）,1510,兵庫県・鳥取県,近畿･北陸,
188,蒜山（上蒜山）,35.325,133.6633333,ひるぜん（かみひるぜん）,1202,鳥取県･岡山県,中四国・九州,
189,三瓶山（男三瓶山）,35.1405555,132.6216666,さんべさん（おさんべさん）,1126,島根県,中四国・九州,
190,三嶺,33.8394444,133.9877777,みうね,1894,徳島県･高知県,中四国・九州,H26年標高変更
191,東赤石山,33.875,133.375,ひがしあかいしやま,1706,愛媛県,中四国・九州,
192,笹ヶ峰,33.8280555,133.2747222,ささがみね,1860,愛媛県･高知県,中四国・九州,H26年標高変更
193,英彦山（南岳）,33.4761111,130.9261111,ひこさん,1199,福岡県･大分県,中四国・九州,H26年標高変更
194,雲仙岳（普賢岳）,32.76,130.2922222,うんぜんだけ（ふげんだけ）,1359,長崎県,中四国・九州,
195,由布岳,33.2822222,131.3902777,ゆふだけ,1583,大分県,中四国・九州,
196,大崩山,32.7377777,131.5130555,おおくえやま,1644,宮崎県,中四国・九州,
197,市房山,32.3116666,131.1011111,いちふさやま,1721,熊本県・宮崎県,中四国・九州,
198,尾鈴山,32.2991666,131.4266666,おすずやま,1405,宮崎県,中四国・九州,
199,霧島山（高千穂峰）,31.8863888,130.9188888,きりしまやま（たかちほみね）,1574,宮崎県,中四国・九州,H26年標高変更
200,御岳（北岳）,31.5886111,130.6547222,おんたけ（きただけ）,1117,鹿児島県,中四国・九州,
