No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考
201,ニセイカウシュッペ山,43.78,142.9852777,にせいかうしゅっぺさん,1883,北海道,北海道,
202,オプタテシケ山,43.4702777,142.7516666,おぷたてしけやま,2013,北海道,北海道,H26年標高変更
203,神威岳,42.4283333,142.9069444,かむいだけ,1600,北海道,北海道,
204,余市岳,43.0327777,141.0197222,よいちだけ,1488,北海道,北海道,
205,ニセコアンヌプリ,42.875,140.6588888,にせこあんぬぷり,1308,北海道,北海道,
206,狩場山,42.6133333,139.9405555,かりばやま,1520,北海道,北海道,
207,大千軒岳,41.5794444,140.1608333,だいせんげんだけ,1072,北海道,北海道,
208,五葉山,39.2052777,141.7322222,ごようざん,1351,岩手県,東北,
209,烏帽子岳（乳頭山）,39.805,140.8386111,えぼしだけ,1478,岩手県・秋田県,東北,
210,太平山,39.7969444,140.3105555,たいへいざん,1170,秋田県,東北,
211,摩耶山,38.5202777,139.7277777,まやさん,1020,山形県,東北,
212,祝瓶山,38.1975,139.8797222,いわいがめやま,1417,山形県,東北,
213,泉ヶ岳,38.4119444,140.7088888,いずみがたけ,1175,宮城県,東北,
214,一切経山,37.7352777,140.2444444,いっさいきょうさん,1949,福島県,東北,
215,大滝根山,37.355,140.7016666,おおたきねやま,1192,福島県,東北,
216,粟ヶ岳,37.5552777,139.1886111,あわがたけ,1293,新潟県,上信越,
217,浅草岳,37.3436111,139.2336111,あさくさだけ,1585,新潟県・福島県,上信越,
218,金北山,38.1038888,138.3497222,きんぽくさん,1172,新潟県,上信越,
219,米山,37.2894444,138.4838888,よねやま,993,新潟県,上信越,
220,八溝山,36.9302777,140.2730555,やみぞさん,1022,茨城県・福島県,関東,
221,二岐山,37.2463888,139.9672222,ふたまたやま,1544,福島県,東北,
222,男鹿岳,37.0852777,139.8219444,おじかだけ,1777,福島県･栃木県,関東,
223,荒海山（太郎岳）,37.0361111,139.6436111,あらかいざん（たろうだけ）,1581,福島県･栃木県,関東,
224,七ヶ岳,37.1241666,139.6575,ななつがたけ,1636,福島県,東北,
225,景鶴山,36.9569444,139.2105555,けいづるやま,2004,群馬県･新潟県,上信越,
226,釈迦ヶ岳（高原山）,36.9,139.7766666,しゃかがだけ（たかはらやま）,1795,栃木県,関東,
227,太郎山,36.8177777,139.4827777,たろうさん,2368,栃木県,関東,H26年標高変更
228,袈裟丸山,36.6494444,139.3272222,けさまるやま,1961,栃木県・群馬県,関東,
229,朝日岳,36.8805555,138.9725,あさひだけ,1945,群馬県,上信越,
230,笠ヶ岳,36.6766666,138.4813888,かさがたけ,2076,長野県,上信越,
231,横手山,36.6688888,138.5258333,よこてやま,2307,群馬県･長野県,上信越,
232,諏訪山,36.04,138.7294444,すわやま,1549,群馬県,関東,
233,国師ヶ岳,35.8708333,138.6730555,こくしがたけ,2592,山梨県･長野県,関東,
234,三頭山,35.7391666,139.0138888,みとうさん,1531,東京都,関東,
235,大山,35.4408333,139.2313888,おおやま,1252,神奈川県,関東,
236,金時山,35.2897222,139.005,きんときやま,1212,静岡県･神奈川県,関東,H26年標高変更
237,神山,35.2333333,139.0208333,かみやま,1438,神奈川県,関東,
238,黒岳,35.5519444,138.7494444,くろだけ,1793,山梨県,関東,
239,鉢伏山,36.1630555,138.0591666,はちぶせやま,1929,長野県,南･中央アルプス,H26年標高変更
240,入笠山,35.8963888,138.1716666,にゅうがさやま,1955,長野県,南･中央アルプス,
241,アサヨ峰,35.7316666,138.2413888,あさよみね,2799,山梨県,南･中央アルプス,
