No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考
242,奥茶臼山,35.485,138.0691666,おくちゃうすやま,2474,長野県,南･中央アルプス,
243,茶臼岳,35.3691666,138.1405555,ちゃうすだけ,2604,長野県・静岡県,南･中央アルプス,
244,黒法師岳,35.1961111,138.0294444,くろほうしだけ,2068,静岡県,南･中央アルプス,H26年標高変更
245,高塚山,35.1155555,138.0036111,たかつかやま,1621,静岡県,南･中央アルプス,
246,熊伏山,35.2633333,137.895,くまぶしやま,1654,長野県,南･中央アルプス,H26年標高変更
247,山伏,35.3044444,138.2852777,やんぶし,2013,山梨県･静岡県,南･中央アルプス,
248,斑尾山,36.8375,138.2744444,まだらおやま,1382,長野県,北アルプス・北信,
249,焼山,36.9208333,138.0358333,やけやま,2400,新潟県,北アルプス・北信,
250,青海黒姫山,36.9766666,137.79,おうみくろひめやま,1221,新潟県,北アルプス・北信,H26年標高変更
251,朝日岳,36.8266666,137.73,あさひだけ,2418,新潟県･富山県,北アルプス・北信,
252,唐松岳,36.6872222,137.7547222,からまつだけ,2696,富山県･長野県,北アルプス・北信,
253,爺ヶ岳,36.5883333,137.7508333,じいがたけ,2670,富山県･長野県,北アルプス・北信,
254,蓮華岳,36.5358333,137.7105555,れんげだけ,2799,富山県･長野県,北アルプス・北信,
255,野口五郎岳,36.4327777,137.6377777,のぐちごろうだけ,2924,富山県･長野県,北アルプス・北信,
256,三俣蓮華岳,36.39,137.5877777,みつまたれんげだけ,2841,富山県･岐阜県・長野県,北アルプス・北信,
257,鍬崎山,36.54,137.4780555,くわさきやま,2090,富山県,北アルプス・北信,
258,鉢盛山,36.0866666,137.7547222,はちもりやま,2447,長野県,南･中央アルプス,H26年標高変更
259,奥三界岳,35.6816666,137.5072222,おくさんがいだけ,1811,岐阜県･長野県,南･中央アルプス,H26年標高変更
260,越百山,35.6794444,137.8033333,こすもやま,2614,長野県,南･中央アルプス,H26年標高変更
261,南木曽岳,35.5925,137.6441666,なぎそだけ,1679,長野県,南･中央アルプス,
262,白木峰,36.4155555,137.1122222,しらきみね,1596,富山県･岐阜県,近畿･北陸,
263,人形山,36.3488888,136.9397222,にんぎょうざん,1726,岐阜県･富山県,近畿･北陸,
264,医王山,36.5127777,136.7961111,いおうぜん,939,富山県･石川県,近畿･北陸,
265,大門山,36.3652777,136.8036111,だいもんさん,1572,富山県･石川県,近畿･北陸,
266,大笠山,36.3205555,136.7897222,おおがさやま,1822,富山県･石川県,近畿･北陸,
267,三方岩岳,36.2588888,136.8444444,さんぽういわだけ,1736,石川県･岐阜県,近畿･北陸,
268,猿ヶ馬場山,36.2258333,136.9427777,さるがばんばやま,1875,岐阜県,近畿･北陸,
269,経ヶ岳,36.0463888,136.6219444,きょうがたけ,1625,福井県,近畿･北陸,
270,野伏ヶ岳,36.0127777,136.7325,のぶせがたけ,1674,岐阜県･福井県,近畿･北陸,
271,鷲ヶ岳,35.9402777,136.9713888,わしがたけ,1671,岐阜県,近畿･北陸,H20年標高変更
272,川上岳,36.0083333,137.1494444,かおれだけ,1625,岐阜県,近畿･北陸,H26年標高変更
273,冠山,35.7797222,136.4094444,かんむりやま,1257,福井県･岐阜県,近畿･北陸,
274,藤原岳,35.1586111,136.4527777,ふじわらだけ,1120,三重県･滋賀県,近畿･北陸,
275,倶留尊山,34.5308333,136.1702777,くろそやま,1037,三重県･奈良県,近畿･北陸,H21年標高変更
276,三峰山,34.4486111,136.2063888,みうねやま,1235,三重県･奈良県,近畿･北陸,
277,高見山,34.4286111,136.0883333,たかみやま,1248,三重県･奈良県,近畿･北陸,
278,竜門岳,34.4405555,135.8977777,りゅうもんがたけ,904,奈良県,近畿･北陸,
279,護摩壇山,34.0575,135.5669444,ごまだんざん,1372,奈良県・和歌山県,近畿･北陸,
280,葛城山,34.4561111,135.6822222,かつらぎさん,959,奈良県･大阪府,近畿･北陸,
281,蓬莱山,35.2094444,135.8858333,ほうらいさん,1174,滋賀県,近畿･北陸,
282,大比叡（比叡山）,35.0658333,135.8344444,だいひえい（ひえいざん）,848,滋賀県・京都府,近畿･北陸,
283,愛宕山,35.0602777,135.6341666,あたごやま,924,京都府,近畿･北陸,
284,六甲山,34.7780555,135.2636111,ろっこうさん,931,兵庫県,近畿･北陸,
285,扇ノ山,35.4397222,134.4408333,おおぎのせん,1310,鳥取県,中四国・九州,
286,那岐山,35.1716666,134.1802777,なぎさん,1255,鳥取県・岡山県,中四国・九州,
287,道後山,35.0694444,133.2327777,どうごやま,1271,広島県･鳥取県,中四国・九州,
288,吾妻山,35.0680555,133.0330555,あづまやま,1239,広島県･島根県,中四国・九州,
289,伊予富士,33.7880555,133.2480555,いよふじ,1756,愛媛県･高知県,中四国・九州,
290,瓶ヶ森,33.7947222,133.1933333,かめがもり,1897,愛媛県,中四国・九州,H26年標高変更
291,三本杭,33.1883333,132.6352777,さんぼんぐい,1226,愛媛県,中四国・九州,
292,篠山,33.0558333,132.6591666,ささやま,1065,愛媛県･高知県,中四国・九州,
293,背振山,33.4363888,130.3686111,せぶりやま,1055,福岡県･佐賀県,中四国・九州,
294,多良岳,32.9755555,130.0927777,たらだけ,996,佐賀県,中四国・九州,
295,鶴見岳,33.2866666,131.4297222,つるみだけ,1375,大分県,中四国・九州,
296,大船山,33.095,131.2805555,たいせんざん,1786,大分県,中四国・九州,
297,湧蓋山,33.14,131.1644444,わいたさん,1500,大分県,中四国・九州,
298,傾山,32.8388888,131.4758333,かたむきやま,1605,大分県,中四国・九州,
299,国見岳,32.5472222,131.0183333,くにみだけ,1739,熊本県･宮崎県,中四国・九州,
300,大箆柄岳（高隈山）,31.4861111,130.8186111,おおのがらだけ（たかくまやま）,1236,鹿児島県,中四国・九州,
301,山上ヶ岳,34.2525,135.9411111,さんじょうがたけ,1719,奈良県,近畿･北陸,
